1,/36/,divison,10000001,36,চট্টগ্রাম,http://www.chittagongdiv.gov.bd/,Chittagong,1
2,/36/28/,district,36,28,কুমিল্লা জেলা,http://www.comilla.gov.bd,Cumilla District,2
3,/36/28/29/,upazilla,28,29,দেবিদ্বার উপজেলা,http://debidwar.comilla.gov.bd,Debidwar Upazilla,3
4,/36/28/29/32/,union,29,32,সুবিল ইউনিয়ন,http://subilup.comilla.gov.bd,Subil,4
5,/36/28/29/33/,union,29,33,গুনাইঘর (উত্তর) ইউনিয়ন,http://gunaighornorthup.comilla.gov.bd,Gunaighornorth,4
6,/36/28/29/34/,union,29,34,গুনাইঘর (দক্ষিণ) ইউনিয়ন,http://gunaighorsouth.comilla.gov.bd,Gunaighorsouth,4
7,/36/28/29/579/,union,29,579,বড়শালঘর ইউনিয়ন,http://boroshalghorup.comilla.gov.bd,Boroshalghor,4
8,/36/28/29/580/,union,29,580,রাজামেহার ইউনিয়ন,http://rajameherup.comila.gov.bd,Rajameher,4
9,/36/28/29/581/,union,29,581,ইউসুফপুর ইউনিয়ন,http://yousufpurup.comilla.gov.bd,Yousufpur,4
10,/36/28/29/582/,union,29,582,রসুলপুর ইউনিয়ন,http://rasulpurup.comilla.gov.bd,Rasulpur,4
11,/36/28/29/583/,union,29,583,ফতেহাবাদ ইউনিয়ন,http://fatehabadup.comilla.gov.bd,Fatehabad,4
12,/36/28/29/584/,union,29,584,এলাহাবাদ ইউনিয়ন,http://elahabadup.comilla.gov.bd,Elahabad,4
13,/36/28/29/601/,union,29,601,জাফরগঞ্জ ইউনিয়ন,http://jafargonjup.comilla.gov.bd,Jafargonj,4
14,/36/28/29/602/,union,29,602,ধামতী ইউনিয়ন,http://dhamptiup.comilla.gov.bd,Dhampti,4
15,/36/28/29/603/,union,29,603,মোহনপুর ইউনিয়ন,http://mohanpurup.comilla.gov.bd,Mohanpur,4
16,/36/28/29/604/,union,29,604,ভানী ইউনিয়ন,http://vaniup.comilla.gov.bd,Vani,4
17,/36/28/29/605/,union,29,605,বরকামতা ইউনিয়ন,http://barkamtaup.comilla.gov.bd,Barkamta,4
18,/36/28/29/3457/,union,29,3457,সুলতানপুর ইউনিয়ন,http://sultanpurup.comilla.gov.bd,Sultanpur,4
19,/36/28/78/,upazilla,28,78,বরুড়া উপজেলা,http://barura.comilla.gov.bd,Barura Upazilla,3
20,/36/28/78/905/,union,78,905,আগানগর ইউনিয়ন,http://aganagarup.comilla.gov.bd,Aganagar,4
21,/36/28/78/906/,union,78,906,ভবানীপুর ইউনিয়ন,http://bhabanipurup.comilla.gov.bd,Bhabanipur,4
22,/36/28/78/907/,union,78,907,খোশবাস (উ:) ইউনিয়ন,http://khoshbasnorthup.comilla.gov.bd,Khoshbasnorth,4
23,/36/28/78/908/,union,78,908,খোশবাস (দ:) ইউনিয়ন,http://khoshbassouthup.comilla.gov.bd,Khoshbassouth,4
24,/36/28/78/909/,union,78,909,ঝলম ইউনিয়ন,http://jhalamup.comilla.gov.bd,Jhalam,4
25,/36/28/78/910/,union,78,910,চিতড্ডা ইউনিয়ন,http://chitoddaup.comilla.gov.bd,Chitodda,4
