no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
1,রাষ্ট্রপতির কার্যালয়,President's Office,Ministry/Division,,,bangabhaban.gov.bd
2,আপন বিভাগ,Personal Division,Division,President's Office,রাষ্ট্রপতির কার্যালয়,personaldivision.portal.gov.bd
3,জন বিভাগ,Public Division,Division,President's Office,রাষ্ট্রপতির কার্যালয়,publicdivision.portal.gov.bd
4,প্রধানমন্ত্রীর কার্যালয়,Prime Minister’s Office,Ministry/Division,,,pmo.gov.bd
5,প্রধানমন্ত্রীর প্রেস উইং,Prime Minister's Press Wing,Others,Prime Minister’s Office,প্রধানমন্ত্রীর কার্যালয়,presswing.pmo.gov.bd
6,সশস্ত্র বাহিনী বিভাগ,Armed Forces Division,Ministry/Division,,,afd.portal.gov.bd
7,মন্ত্রিপরিষদ বিভাগ,Cabinet Division,Ministry/Division,,,cabinet.gov.bd
8,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,Ministry of Chittagong Hill Tracts Affairs,Ministry/Division,,,mochta.gov.bd
9,বান্দরবান পার্বত্য জেলা পরিষদ,Bandarban Hill District Council,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,bhdc.gov.bd
10,পার্বত্য চট্টগ্রাম উন্নয়ন বোর্ড,Chittagong Hill Tracts Development Board,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,chtdb.gov.bd
11,পার্বত্য চট্টগ্রাম আঞ্চলিক পরিষদ,Chittagong Hill Tracts Regional Council,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,chtrc.gov.bd
12,খাগড়াছড়ি পার্বত্য জেলা পরিষদ,Khagrachari Hill District Council,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,khdc.gov.bd
13,রাঙ্গামাটি পার্বত্য জেলা পরিষদ,Rangamati Hill District Council,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,rhdc.gov.bd
14,উপজাতীয় শরণার্থী বিষয়ক টাস্কফোর্স,Tribal Refugee Affairs Task Force,Others,Ministry of Chittagong Hill Tracts Affairs,পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়,tratf.gov.bd
15,প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়,Ministry of Primary and Mass Education,Ministry/Division,,,mopme.gov.bd
16,প্রাথমিক শিক্ষা অধিদপ্তর,Directorate of Primary Education,Directorate,Ministry of Primary and Mass Education,প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়,dpe.gov.bd
17,উপানুষ্ঠানিক শিক্ষা বোর্ড,Board of Non-Formal Education,Others,Ministry of Primary and Mass Education,প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়,nfeboard.portal.gov.bd
